Dozier	Brian	0.182	26	9	0	5
Turner	Justin	0.312	114	31	1	14
Freese	David	0.385	15	2	1	2
Machado	Manny	0.273	73	14	2	13
Taylor	Chris	0.254	136	35	8	17
Kemp	Matt	0.29	134	25	0	21
Hernandez	Enrique	0.256	103	17	3	21
Puig	Yasiel	0.267	108	21	1	23
Barnes	Austin	0.205	41	5	0	4
